Date,Close
2024-01-02,100.0
2024-01-03,100.55
2024-01-04,101.06
2024-01-05,101.51
2024-01-08,101.88
2024-01-09,102.15
2024-01-10,102.32
2024-01-11,102.41
2024-01-12,102.43
2024-01-15,102.41
2024-01-16,102.38
2024-01-17,102.36
2024-01-18,102.38
2024-01-19,102.44
2024-01-22,102.55
2024-01-23,102.71
2024-01-24,102.89
2024-01-25,103.07
2024-01-26,103.22
2024-01-29,103.32
2024-01-30,103.34
2024-01-31,103.27
2024-02-01,103.1
2024-02-02,102.84
2024-02-05,102.51
2024-02-06,102.13
2024-02-07,101.74
2024-02-08,101.37
2024-02-09,101.05
2024-02-12,100.81
2024-02-13,100.66
2024-02-14,100.61
2024-02-15,100.65
2024-02-16,100.77
2024-02-19,100.95
2024-02-20,101.14
2024-02-21,101.34
2024-02-22,101.51
2024-02-23,101.64
2024-02-26,101.72
2024-02-27,101.75
2024-02-28,101.75
2024-02-29,101.73
2024-03-01,101.73
2024-03-04,101.78
2024-03-05,101.89
2024-03-06,102.08
2024-03-07,102.37
2024-03-08,102.75
2024-03-11,103.22
2024-03-12,103.74
2024-03-13,104.29
2024-03-14,104.83
2024-03-15,105.33
2024-03-18,105.77
2024-03-19,106.11
2024-03-20,106.36
2024-03-21,106.51
2024-03-22,106.58
2024-03-25,106.58
2024-03-26,106.54
2024-03-27,106.49
2024-03-28,106.45
2024-03-29,106.46
2024-04-01,106.5
2024-04-02,106.6
2024-04-03,106.74
2024-04-04,106.91
2024-04-05,107.07
2024-04-08,107.2
2024-04-09,107.28
2024-04-10,107.28
2024-04-11,107.18
2024-04-12,107.0
2024-04-15,106.73
2024-04-16,106.39
2024-04-17,106.01
2024-04-18,105.62
2024-04-19,105.26
2024-04-22,104.95
2024-04-23,104.73
2024-04-24,104.6
2024-04-25,104.57
2024-04-26,104.64
2024-04-29,104.78
2024-04-30,104.98
2024-05-01,105.19
2024-05-02,105.41
2024-05-03,105.59
2024-05-06,105.74
2024-05-07,105.83
2024-05-08,105.87
2024-05-09,105.89
2024-05-10,105.89
2024-05-13,105.91
2024-05-14,105.97
2024-05-15,106.1
2024-05-16,106.32
2024-05-17,106.63
2024-05-20,107.02
2024-05-21,107.5
2024-05-22,108.02
2024-05-23,108.57
2024-05-24,109.11
2024-05-27,109.6
2024-05-28,110.02
2024-05-29,110.34
2024-05-30,110.57
2024-05-31,110.69
2024-06-03,110.74
2024-06-04,110.71
2024-06-05,110.65
2024-06-06,110.58
2024-06-07,110.53
2024-06-10,110.52
2024-06-11,110.55
2024-06-12,110.64
2024-06-13,110.76
2024-06-14,110.91
2024-06-17,111.05
2024-06-18,111.17
2024-06-19,111.22
2024-06-20,111.2
2024-06-21,111.09
2024-06-24,110.89
2024-06-25,110.61
2024-06-26,110.26
2024-06-27,109.88
2024-06-28,109.5
2024-07-01,109.14
2024-07-02,108.86
2024-07-03,108.65
2024-07-04,108.55
2024-07-05,108.55
2024-07-08,108.64
2024-07-09,108.8
2024-07-10,109.02
2024-07-11,109.26
2024-07-12,109.49
2024-07-15,109.69
2024-07-16,109.85
2024-07-17,109.95
2024-07-18,110.01
2024-07-19,110.04
2024-07-22,110.06
2024-07-23,110.1
2024-07-24,110.18
2024-07-25,110.33
2024-07-26,110.56
2024-07-29,110.89
2024-07-30,111.3
2024-07-31,111.78
2024-08-01,112.31
2024-08-02,112.85
2024-08-05,113.38
2024-08-06,113.86
2024-08-07,114.26
2024-08-08,114.56
2024-08-09,114.76
2024-08-12,114.86
